Module	Section	Sample Name	Source
fastp	all_sections	C1	/cluster/majf_lab/mtinti/Calvin/TfrKD/C1/res/C1/fastp/C1__fastp.json
fastp	all_sections	C2	/cluster/majf_lab/mtinti/Calvin/TfrKD/C2/res/C2/fastp/C2__fastp.json
fastp	all_sections	C3	/cluster/majf_lab/mtinti/Calvin/TfrKD/C3/res/C3/fastp/C3__fastp.json
fastp	all_sections	D1	/cluster/majf_lab/mtinti/Calvin/TfrKD/D1/res/D1/fastp/D1__fastp.json
fastp	all_sections	D2	/cluster/majf_lab/mtinti/Calvin/TfrKD/D2/res/D2/fastp/D2__fastp.json
fastp	all_sections	D3	/cluster/majf_lab/mtinti/Calvin/TfrKD/D3/res/D3/fastp/D3__fastp.json
fastp	all_sections	DF1	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF1/res/DF1/fastp/DF1__fastp.json
fastp	all_sections	DF2	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF2/res/DF2/fastp/DF2__fastp.json
fastp	all_sections	DF3	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF3/res/DF3/fastp/DF3__fastp.json
fastp	all_sections	F1	/cluster/majf_lab/mtinti/Calvin/TfrKD/F1/res/F1/fastp/F1__fastp.json
fastp	all_sections	F2	/cluster/majf_lab/mtinti/Calvin/TfrKD/F2/res/F2/fastp/F2__fastp.json
fastp	all_sections	F3	/cluster/majf_lab/mtinti/Calvin/TfrKD/F3/res/F3/fastp/F3__fastp.json
Bowtie 2	all_sections	C1	/cluster/majf_lab/mtinti/Calvin/TfrKD/C1/res/C1/bowtie/C1.log
Bowtie 2	all_sections	C2	/cluster/majf_lab/mtinti/Calvin/TfrKD/C2/res/C2/bowtie/C2.log
Bowtie 2	all_sections	C3	/cluster/majf_lab/mtinti/Calvin/TfrKD/C3/res/C3/bowtie/C3.log
Bowtie 2	all_sections	D1	/cluster/majf_lab/mtinti/Calvin/TfrKD/D1/res/D1/bowtie/D1.log
Bowtie 2	all_sections	D2	/cluster/majf_lab/mtinti/Calvin/TfrKD/D2/res/D2/bowtie/D2.log
Bowtie 2	all_sections	D3	/cluster/majf_lab/mtinti/Calvin/TfrKD/D3/res/D3/bowtie/D3.log
Bowtie 2	all_sections	DF1	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF1/res/DF1/bowtie/DF1.log
Bowtie 2	all_sections	DF2	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF2/res/DF2/bowtie/DF2.log
Bowtie 2	all_sections	DF3	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF3/res/DF3/bowtie/DF3.log
Bowtie 2	all_sections	F1	/cluster/majf_lab/mtinti/Calvin/TfrKD/F1/res/F1/bowtie/F1.log
Bowtie 2	all_sections	F2	/cluster/majf_lab/mtinti/Calvin/TfrKD/F2/res/F2/bowtie/F2.log
Bowtie 2	all_sections	F3	/cluster/majf_lab/mtinti/Calvin/TfrKD/F3/res/F3/bowtie/F3.log
Picard	DuplicationMetrics	C1	/cluster/majf_lab/mtinti/Calvin/TfrKD/C1/res/C1/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	C2	/cluster/majf_lab/mtinti/Calvin/TfrKD/C2/res/C2/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	C3	/cluster/majf_lab/mtinti/Calvin/TfrKD/C3/res/C3/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	D1	/cluster/majf_lab/mtinti/Calvin/TfrKD/D1/res/D1/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	D2	/cluster/majf_lab/mtinti/Calvin/TfrKD/D2/res/D2/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	D3	/cluster/majf_lab/mtinti/Calvin/TfrKD/D3/res/D3/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	DF1	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF1/res/DF1/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	DF2	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF2/res/DF2/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	DF3	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF3/res/DF3/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	F1	/cluster/majf_lab/mtinti/Calvin/TfrKD/F1/res/F1/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	F2	/cluster/majf_lab/mtinti/Calvin/TfrKD/F2/res/F2/markduplicates/marked_dup_metrics.txt
Picard	DuplicationMetrics	F3	/cluster/majf_lab/mtinti/Calvin/TfrKD/F3/res/F3/markduplicates/marked_dup_metrics.txt
FastQ Screen	all_sections	C1	/cluster/majf_lab/mtinti/Calvin/TfrKD/C1/res/C1/fastqs/C1_.sorted_unmap_all_1_screen.txt
FastQ Screen	all_sections	C2	/cluster/majf_lab/mtinti/Calvin/TfrKD/C2/res/C2/fastqs/C2_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	C3	/cluster/majf_lab/mtinti/Calvin/TfrKD/C3/res/C3/fastqs/C3_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	D1	/cluster/majf_lab/mtinti/Calvin/TfrKD/D1/res/D1/fastqs/D1_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	D2	/cluster/majf_lab/mtinti/Calvin/TfrKD/D2/res/D2/fastqs/D2_.sorted_unmap_all_1_screen.txt
FastQ Screen	all_sections	D3	/cluster/majf_lab/mtinti/Calvin/TfrKD/D3/res/D3/fastqs/D3_.sorted_unmap_all_2_screen.txt
FastQ Screen	all_sections	DF1	/cluster/majf_lab/mtinti/Calvin/TfrKD/DF1/res/DF1/fastqs/DF1_.sorted_unmap_all_1_screen.txt
