Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
C1_1	69.23068066202069	48.0	100.0	20.0	52201418.0
C1_2	67.43270082695088	48.0	100.0	20.0	52201418.0
C2_1	69.94505115688978	48.0	100.0	20.0	52236236.0
C2_2	69.24023593286262	48.0	100.0	20.0	52236236.0
C3_1	70.04654259608179	48.0	100.0	20.0	52184501.0
C3_2	67.85792889230777	48.0	100.0	20.0	52184501.0
D1_1	69.28940130074005	48.0	100.0	20.0	51119049.0
D1_2	67.52387772394553	48.0	100.0	20.0	51119049.0
D2_1	68.94535947469643	48.0	100.0	20.0	53436812.0
D2_2	66.59350394232142	48.0	100.0	20.0	53436812.0
D3_1	69.88184833835481	48.0	100.0	20.0	52207096.0
D3_2	67.79937475517397	48.0	100.0	20.0	52207096.0
DF1_1	70.04831157083544	48.0	100.0	20.0	51129292.0
DF1_2	67.71255086042095	48.0	100.0	20.0	51129292.0
DF2_1	70.06998251301874	48.0	100.0	20.0	52372920.0
DF2_2	68.69292771654406	48.0	100.0	20.0	52372920.0
DF3_1	68.79992931288	48.0	100.0	20.0	51112586.0
DF3_2	67.13509390961019	48.0	100.0	20.0	51112586.0
F1_1	70.20460630289868	48.0	100.0	20.0	52207404.0
F1_2	68.73726010028672	48.0	100.0	20.0	52207404.0
F2_1	69.65278661767262	48.0	100.0	20.0	51109609.0
F2_2	67.60973285657528	48.0	100.0	20.0	51109609.0
F3_1	68.82855273764486	48.0	100.0	20.0	52374754.0
F3_2	66.97529645628788	48.0	100.0	20.0	52374754.0
